ScientificName,Kingdom,Phylum,Class,Order,Family,Genus,Species,EarliestRecord,LatestRecord,CountryCodes
Sponia velutina Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,,,"IN, PH"
Parasponia andersonii (Planch.) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema andersonii,1769,2015,"NC, WS, PG, ZZ, SB, PF, NL, VU, FJ"
Celtis hunanensis Hand.-Mazz.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,1918,1918,CN
Momisia iguanaea (Jacq.) Rose & Standl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1986,1986,"MX, HT"
Celtis triflora (Klotzsch) Ruiz,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1778,1778,PE
Celtis tomentosa Roxb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,,,PH
Cannabis sativa subsp. sativa,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1827,2020,"FR, CH, US, KR, RU, IN, HU, AL, CR, NZ, PL, DE, AT, SE, DK, BT, CA, IT, CZ, CN, RO"
Celtis albicans Willd. ex Steud.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,MX
Celtis tessmannii Rendle,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tessmannii,1903,2021,"GQ, CF, GA, CD, CG, CM"
Celtis australis A.Rich.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis adolfi-friderici,,,ES
Celtis davidiana Carrière,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis bungeana,1923,1923,"FR, US, CN"
Celtis spinosa Ruiz ex Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1893,1990,"BR, PY, AR, BO, MX, UY, US"
Gironniera Gaudich.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,,1861,2016,"TH, LK, BN, CN, HK, ZZ, CM, FJ, SG, FM, BD, PG, SB, DE, MY, LA, IN, MX, PH, KH, VN, MM, ID"
Celtis cavaleriei H.Lév.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis biondii,1902,1902,CN
Trema strigillosa Lundell,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1929,1972,"GT, BZ"
Celtis collinsae Craib,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1932,1936,CN
Celtis glabra Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tetrandra,,,GE
Celtis australis subsp. australis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis australis,1860,2021,"GR, HR, IT"
Humulus lupuloides (E.Small) Tembrock,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1855,1992,US
Celtis alnifolia (Wedd.) Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1907,2012,BR
Celtis zenkeri Engl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis zenkeri,1855,2019,"CM, UG, BJ, ET, GH, CD, GN, BI, NG, CF, TG, ST, TZ, AO, CG, ZZ, SD, CI, MG"
Chaetacme Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Chaetacme,,1887,2019,"CI, MZ, TG, SZ, GQ, CF, AO, MW, ZM, CM, CD, ZA, BE, KE, NG, BJ, ZW, RW, UG, MG, TZ, GH"
Celtis kajewskii Merr. & Perry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis latifolia,1931,1990,"SB, ID, PG"
Celtis rubrovenia Elmer,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis rubrovenia,1907,1966,"ID, ZZ, PH"
Mertensia laevigata Kunth,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,,,VE
Celtis japonica Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,1862,2005,"ES, FR, JP"
Solenostigma brevinerve Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,,,ZZ
Trema rugosa (Willd.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1948,1948,UY
Trema bracteolatum (Hochst.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientale,1907,1938,ZA
Humulopsis Grudz.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,,2006,2006,VN
Gironniera yunnanensis Hu,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe cuspidata,1935,1936,CN
Celtis bungeana Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis bungeana,1831,2018,"ZZ, KP, JP, KR, NL, DE, CN, ES, SE, US, RU"
Chaetachme Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Chaetachme,,1930,2002,"MG, TZ, BJ, MZ, ZA, AO"
"Celtis kansana Chaney & Elias, 1936",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis kansana,,,US
Celtis weddelliana (Planch.) Romanczuk,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1946,1955,AR
Celtis lindheimeri Engelm. ex C.Koch,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis lindheimeri,1850,1975,US
Celtis orthocantha Planch,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis orthacanthos,1986,1986,BR
Celtidopsis citrifolia (Kunth) Fr.Priemer,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1802,1802,EC
Celtis wightii var. consimilis (Blume) Gagnep.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1932,1936,CN
Celtis vesiculosa Hochst.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis africana,,,ET
Celtis orthocanthos Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis orthocanthos,,,
Celtis monoica Hemsl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe monoica,1858,2010,"GT, MX"
Celtis tournefortii subsp. aspera Spach,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tournefortii,,,GR
Celtis malagasica Sattarian,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis madagascariensis,,,
Parasponia simulans Merr. & Perry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema melastomatifolia,1939,1939,ID
Ampelocera pubescens Morton,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera pubescens,1927,1928,CU
Celtis glabrata Spreng.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1978,2016,"VE, RU, AM, BE"
Celtis durandii var. ugandensis (Rendle) Rendle,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis gomphophylla,1962,1962,"ZZ, KE, CD, UG"
Trema laxiflorum Lundell,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema integerrima,1945,1999,"MX, BZ, GT"
Cannabis sativa var. kafiristanica (Vavilov) E.Small & Cronquist,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1928,1931,IN
Cannabis sativa var. spontanea Vavilov,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1840,2022,"UZ, DE, US, CZ, BY, RO, RU, TJ, KZ, AT, AM, UA, MN, HU"
Momisia flexuosa Wedd.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis brasiliensis,1846,1846,BO
Celtis biondii var. heterophylla (Lév.) C.K.Schneid.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis biondii,1985,2019,"KR, CN"
Celtis biondii var. biondii,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis biondii,1955,2017,JP
Sponia pumila (Pursh) G.Don,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,,,
Celtis pallida var. pallida,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1913,1995,"MX, AR, CO"
Celtis glabrata Stev. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis planchoniana,1807,2018,"ZZ, AZ, GE, BE, NL, RU, UA, AM"
Celtis rugosa Willd.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1944,1944,PR
"Celtis philippinensis Blanco, 1837",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippinensis,1820,2010,"CF, MY, GQ, ST, MG, TH, CD, BJ, AU, CM, PH, CN, TG, KE, SD, CI, PG, ID, SN, GA, UG, GH, NG, TZ"
Celtis jessoensis Koidz.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis jessoensis,1908,2019,"KR, ZZ, DE, CA, JP, NL, CN, KP"
Polygonum viridiflorum Poir.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,2012,2012,
Celtis durandii Engl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis gomphophylla,1896,2018,"KE, ZA, ZW, CG, BE, UG, CI, GA, CD, TZ, AO"
Celtis koraiensis Nakai,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis koraiensis,1902,2018,"ZZ, BE, KP, JP, KR, CN, CA, NL"
Celtis rockii Rehder,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis biondii,1923,1923,"ZZ, CN"
Celtis aspera (Ledeb.) Steven,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tournefortii,1924,1924,CN
Celtis formosana Hayata,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tetrandra,1906,2018,"TW, CN, ZZ, JP"
Celtis harperi Horne,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis harperi,1968,2014,"WF, TO"
Celtis mairei H.Lév.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis bungeana,,,CN
Celtis glycycarpa Mart.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,,,BR
Ampelocera albertiae Todzia,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera albertiae,1982,2021,CO
Momisia F.Dietr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,,1921,1921,BO
"Aphananthe tenuicostata Dorofeev, 1982",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe tenuicostata,,,"DE, RU"
Cannabinaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,,,,,
Homoioceltis Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,,,,PH
Humulus yunnanensis Hu,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1887,1977,CN
Ampelocera longissima Todzia,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera longissima,1933,2012,"EC, PE, CO, BR"
Celtis scotellioides A.Chev.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1909,1953,"CI, CD"
Celtis integerrima Merr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis integerrima,1932,1932,CN
Helminthospermum scabridum Thwaites,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Gironniera,Gironniera parvifolia,,,LK
Celtis bodinieri H.Lév.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,,,CN
Celtis virgata Roxb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,,,
Trema commersonii (Planch.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,,,RE
Celtis politoria Wall.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema politoria,,,"NP, IN"
Celtis georgiana Small,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tenuifolia,1893,1999,"US, ZZ"
Celtis biondii Pamp.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis biondii,1890,2021,"TW, KR, CN, ZZ, US, KP, NZ, JP, CA"
Celtis canina Raf.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis occidentalis,1844,1987,"CA, US"
Celtis integrifolia Lam.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis toka,1829,2020,"MR, BR, BJ, GA, NE, GM, SN, ET, TG, CM, GH, BF, CI, TD, ML, NG, SD"
Celtis roxburghii Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tetrandra,,,IN
Cannabis sativa var. ruderalis (Janisch.) S.Z.Liou,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1911,2016,"UA, RU, AZ, KP"
Trema guineensis (Schumach. & Thonn.) Ficalho,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,1900,2019,"GQ, BF, SD, ZA, KE, GH, BJ, GW, AO, GA, ZW, ZZ, GN, MW, CI, CM, UG, TZ, CD, LR, SL, ET, CG"
Celtis africana Burm.fil.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis africana,1821,2022,"YT, CD, ZW, AO, UG, ET, ER, BW, LS, BJ, BI, ZZ, SA, CM, MW, GH, SD, US, MZ, CF, KE, SN, ZA, KM, ZM, SZ, RW, YE, SO, LR, TZ"
Trema orientalis var. viridis Lauterb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,1899,2000,"PW, FJ, FM, MP, ZZ, WS, GU, AS, TO, NU"
Celtis timorensis Span.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis timorensis,1835,2019,"VN, NP, KH, LK, ZZ, AU, CX, TH, CN, ID, IN, MM, BT, MY, PH, HK"
Celtis boliviensis Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis brasiliensis,1914,2018,"BR, PY, BO, AR"
Celtis biondii subsp. heterophylla (H.Lév.) C.K.Schneid.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis biondii,1900,2008,"CN, KR, JP"
Celtis brevipes S.Watson,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1874,1874,US
Trema nitens Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,1937,2015,"UG, CD, GH, TG, NG"
Pteroceltis tatarinowii Maxim.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Pteroceltis,Pteroceltis tatarinowii,1895,2021,"FR, ZZ, KR, CA, BE, CN, JP, US"
Celtis tala Gillies ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1816,2022,"PY, BO, MX, UY, BR, US, AR, ZZ, VE"
Celtis flexuosa var. glabrifolia Griseb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1873,1873,AR
Celtis pacifica var. subglabra F.Br.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis pacifica,1921,1921,PF
Humulus americanus Nutt.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1909,2014,"US, CA"
Celtis sellowiana Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1941,2006,"AR, BR, UY"
Ampelocera cubensis Griseb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Ampelocera,Ampelocera cubensis,1860,2019,"CU, HT, DO, JM"
"Celtis biondii var. insularis Hatus. ex H.Umemoto, Yokota & Kokub.",Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis biondii,1958,2015,JP
Celtis similis Merr. & Perry,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis rubrovenia,1938,1958,ID
Celtis laevigata f. microphylla Sarg.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1918,1943,US
Celtis tala f. subpilosa Kuntze,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis ehrenbergiana,1892,1892,AR
Trema orientalis var. argentea (Blume) Lauterb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientalis,1930,1996,"PW, MP, ZZ, JP, GU"
Humulopsis scandens (Lour.) Grudz.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus scandens,1904,1992,"CN, RU, KP, JP"
Celtis trinervia Roxb.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tetrandra,,,ES
Celtis tenuifolia var. tenuifolia,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tenuifolia,1990,1990,US
Celtis conferta subsp. amblyphylla (F.Muell.) P.S.Green,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis conferta,1872,2016,AU
Celtis palauensis Kaneh. & Hatus.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis palauensis,1937,1978,"PW, ZZ"
Celtis bungeana var. heterophylla H.Lév.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis biondii,1909,1909,KR
Trema dielsiana Hand.-Mazz.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema cannabina,1907,2005,"CN, TW"
Aphananthe rectinervis (F.Muell.) Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe philippinensis,,,AU
Celtis schippii Standl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis schippii,1909,2019,"EC, HN, BR, CO, BZ, BO, CR, MX, NI, PE, GY, PA"
Celtis vandervoetiana C.K.Schneid.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis vandervoetiana,1904,2013,CN
Celtis subdentata E.Mey. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Chaetachme,Chaetachme aristata,,,ZA
Sponia chichilea Ruiz & Pav. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,1778,1778,PE
Gironniera reticulata Thwaites,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe cuspidata,1854,1924,"MM, ID, ZZ, VN, LK"
Sponia bracteolata Hochst.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema orientale,1839,1839,ZA
Celtis brownii Rendle,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1958,2021,"GN, NG, CI, GH, CD, TG, BJ, UG"
Celtis tenuifolia var. soperi B.Boivin,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tenuifolia,1907,1949,"US, CA"
Celtis triflora (Klotzsch) Ruiz ex Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1778,2013,"BO, VE, EC, DM, PY, CO, AT, AR, PE, BR"
Cannabis ruderalis Janisch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1800,2020,"ZZ, CZ, HU, GE, RU, PL, DE, UA, UZ, RO, AM, AT, US, PK"
Humulus cordifolius Miq.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1877,1926,"RU, JP"
Celtis philippensis var. philippensis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1909,2015,"TH, MY, VN, ID, PH, PG, CM"
Humulus japonicus Siebold & Zucc.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus scandens,1853,2021,"KR, FI, GB, ZZ, NL, US, BE, RU, CN, NO, SE, CZ, AR, TW, BR, KP, LA, IT, DE, FR, VN, JP, DK, CA"
Celtis glabrata Stev.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis planchoniana,1855,2005,"IQ, AM, IR, TR, UA"
Trema tomentosa var. aspera (Brongn.) Hewson,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,1770,2022,"PG, MY, AU, NC"
Celtis sinensis Pers.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,1777,2022,"NL, RU, ZA, JP, PT, TW, BR, ZZ, NO, ES, LK, AU, BE, HK, VN, MO, ZW, KR, KP, LA, NZ, CN, US"
Trema crassifolia Liebm.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema crassifolia,1842,1842,MX
Celtis reticulata Torr.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis laevigata,1800,2021,"US, BE, ZZ, MX, PL"
Celtis jamaicensis Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis jamaicensis,1849,1967,"JM, CU, ZZ"
Celtis rugosa A.Chev.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis rugosa,,,
Celtis brieyi De Wild.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis tessmannii,1937,2006,"CD, GA"
Aphananthe monoica (Hemsl.) Leroy,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Aphananthe,Aphananthe monoica,1858,2022,"MX, GT, SV, HN, NI"
Trema velutina (Planch.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema tomentosa,1885,2004,"KH, VN, ZZ, CN"
Trema rigida (Merr. & L.M.Perry) Byng & Christenh.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema rigida,,,
Celtis microcarpa Salzm. ex Planch.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema micrantha,,,CN
Humulus lupulus var. lupuloides E.Small,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,Humulus lupulus,1859,2021,"CA, IT, US"
Trema angustifolia (Planch.) Blume,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Trema,Trema angustifolia,1879,2013,"JP, ZZ, MY, LA, VN, ID, CN, TH"
Celtis australis f. variegata Schelle ex Geerinck,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis australis,1994,1994,FR
Celtis punctata (Urb. & Ekman) Urb. & Ekman,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,1925,1926,HT
Cannabis chinensis Delile,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis sativa,1844,1847,"FR, IT"
Celtis sinensis f. purpurascens Nakai,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis sinensis,1969,1983,KR
Celtis bungeana var. jessoensis (Koidz.) Kudô,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis jessoensis,1950,2011,JP
Celtis prantlii Priemer ex Engl.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis philippensis,1860,2020,"NG, TZ, ZW, ZZ, CD, AO, CM, ET, SN, CF, CG, TG, BJ, GQ, ST, GH, KE, CI, UG, GA"
